"cleaned","target"
"Astronomical Low Tide","Astronomical Low Tide"
"Avalanche","Avalanche"
"Blizzard","Blizzard"
"Coastal Flood","Coastal Flood"
"Cold","Cold/Wind Chill"
"Cold/Wind Chill","Cold/Wind Chill"
"Debris Flow","Debris Flow"
"Dense Fog","Dense Fog"
"Dense Smoke","Dense Smoke"
"Drought","Drought"
"Dust Devil","Dust Devil"
"Dust Storm","Dust Storm"
"Excessive Heat","Excessive Heat"
"Extreme Cold","Extreme Cold/Wind Chill"
"Extreme Cold/Wind Chill","Extreme Cold/Wind Chill"
"Extreme Wind Chill","Extreme Cold/Wind Chill"
"Flash Flood","Flash Flood"
"Flood","Flood"
"Freeze","Frost/Freeze"
"Freezing Fog","Freezing Fog"
"Frost","Frost/Freeze"
"Frost/Freeze","Frost/Freeze"
"Funnel Cloud","Funnel Cloud"
"Hail","Hail"
"Heat","Heat"
"Heavy Rain","Heavy Rain"
"Heavy Snow","Heavy Snow"
"High Surf","High Surf"
"High Wind","High Wind"
"Hurricane","Hurricane/Typhoon"
"Hurricane/Typhoon","Hurricane/Typhoon"
"Ice Storm","Ice Storm"
"Lake-Effect Snow","Lake-Effect Snow"
"Lakeshore Flood","Lakeshore Flood"
"Lightning","Lightning"
"Marine Hail","Marine Hail"
"Marine High Wind","Marine High Wind"
"Marine Strong Wind","Marine Strong Wind"
"Marine Thunderstorm Wind","Marine Thunderstorm Wind"
"Rip Current","Rip Current"
"Seiche","Seiche"
"Sleet","Sleet"
"Storm Tide","Storm Tide"
"Strong Wind","Strong Wind"
"Thunderstorm Wind","Thunderstorm Wind"
"Tornado","Tornado"
"Tropical Depression","Tropical Depression"
"Tropical Storm","Tropical Storm"
"Tstm Wind","Thunderstorm Wind"
"Tsunami","Tsunami"
"Typhoon","Hurricane/Typhoon"
"Volcanic Ash","Volcanic Ash"
"Waterspout","Waterspout"
"Wildfire","Wildfire"
"Wind Chill","Cold/Wind Chill"
"Winter Storm","Winter Storm"
"Winter Weather","Winter Weather"
